codigo_cnae,descricao_cnae,total,total_masculino,total_feminino,divisao,secao,nome_secao
0121101,"Horticultura, exceto morango",60,45,15,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0159801,Apicultura,116,84,32,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0159802,Criação de animais de estimação,178,119,59,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0161002,Serviço de poda de árvores para lavouras,76,54,22,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0161003,"Serviço de preparação de terreno, cultivo e colheita",560,463,97,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0162802,Serviço de tosquiamento de ovinos,1,1,0,01,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0321304,Criação de peixes ornamentais em água salgada e salobra,11,9,2,03,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0322104,Criação de peixes ornamentais em água doce,62,48,14,03,A,"Agricultura, Pecuaria, ProduÃ§Ã£o Florestal, Pesca e Aquicultura"
0892401,Extração de sal marinho,1,1,0,08,B,Industrias Extrativas
1013901,Fabricação de produtos de carne,69,47,22,10,C,Industrias de Transformacao
1031700,Fabricação de conservas de frutas,712,417,295,10,C,Industrias de Transformacao
1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",21,16,5,10,C,Industrias de Transformacao
1033301,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",50,31,19,10,C,Industrias de Transformacao
1033302,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",68,45,23,10,C,Industrias de Transformacao
1052000,Fabricação de laticínios,174,122,52,10,C,Industrias de Transformacao
1061902,Fabricação de produtos do arroz,25,16,9,10,C,Industrias de Transformacao
1063500,Fabricação de farinha de mandioca e derivados,49,37,12,10,C,Industrias de Transformacao
1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho",15,11,4,10,C,Industrias de Transformacao
1065101,Fabricação de amidos e féculas de vegetais,31,19,12,10,C,Industrias de Transformacao
1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,7,3,4,10,C,Industrias de Transformacao
1071600,Fabricação de açúcar em bruto,19,11,8,10,C,Industrias de Transformacao
1091101,Fabricação de produtos de panificação industrial,1654,1108,546,10,C,Industrias de Transformacao
1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,4644,1006,3638,10,C,Industrias de Transformacao
1092900,Fabricação de biscoitos e bolachas,148,57,91,10,C,Industrias de Transformacao
